arquivo,cluster
data/C50/C50train\acq\807.txt,4
data/C50/C50train\acq\808.txt,4
data/C50/C50train\acq\809.txt,4
data/C50/C50train\acq\81.txt,4
data/C50/C50train\acq\810.txt,4
data/C50/C50train\acq\811.txt,4
data/C50/C50train\acq\812.txt,4
data/C50/C50train\acq\813.txt,2
data/C50/C50train\acq\814.txt,4
data/C50/C50train\acq\815.txt,4
data/C50/C50train\acq\816.txt,4
data/C50/C50train\acq\817.txt,2
data/C50/C50train\acq\818.txt,4
data/C50/C50train\acq\819.txt,4
data/C50/C50train\acq\82.txt,2
data/C50/C50train\acq\820.txt,4
data/C50/C50train\acq\821.txt,4
data/C50/C50train\acq\822.txt,4
data/C50/C50train\acq\823.txt,4
data/C50/C50train\acq\824.txt,4
data/C50/C50train\acq\825.txt,6
data/C50/C50train\acq\826.txt,4
data/C50/C50train\acq\827.txt,4
data/C50/C50train\acq\828.txt,4
data/C50/C50train\acq\829.txt,4
data/C50/C50train\acq\83.txt,4
data/C50/C50train\acq\830.txt,4
data/C50/C50train\acq\831.txt,2
data/C50/C50train\acq\832.txt,4
data/C50/C50train\acq\833.txt,4
data/C50/C50train\acq\834.txt,4
data/C50/C50train\acq\835.txt,4
data/C50/C50train\acq\836.txt,4
data/C50/C50train\acq\837.txt,4
data/C50/C50train\acq\838.txt,4
data/C50/C50train\acq\839.txt,4
data/C50/C50train\acq\84.txt,4
data/C50/C50train\acq\840.txt,2
data/C50/C50train\acq\841.txt,4
data/C50/C50train\acq\842.txt,4
data/C50/C50train\acq\843.txt,4
data/C50/C50train\acq\844.txt,2
data/C50/C50train\acq\845.txt,4
data/C50/C50train\acq\846.txt,2
data/C50/C50train\acq\847.txt,4
data/C50/C50train\acq\848.txt,4
data/C50/C50train\acq\849.txt,4
data/C50/C50train\acq\85.txt,4
data/C50/C50train\acq\850.txt,4
data/C50/C50train\acq\851.txt,4
data/C50/C50train\acq\852.txt,4
data/C50/C50train\acq\853.txt,4
data/C50/C50train\acq\854.txt,4
data/C50/C50train\acq\855.txt,4
data/C50/C50train\acq\856.txt,6
data/C50/C50train\acq\857.txt,4
data/C50/C50train\acq\858.txt,4
data/C50/C50train\acq\859.txt,4
data/C50/C50train\acq\86.txt,4
data/C50/C50train\acq\860.txt,4
data/C50/C50train\acq\861.txt,4
data/C50/C50train\acq\862.txt,4
data/C50/C50train\acq\863.txt,4
data/C50/C50train\acq\864.txt,4
data/C50/C50train\acq\865.txt,4
data/C50/C50train\acq\866.txt,4
data/C50/C50train\acq\867.txt,4
data/C50/C50train\acq\868.txt,4
data/C50/C50train\acq\869.txt,4
data/C50/C50train\acq\87.txt,4
data/C50/C50train\acq\870.txt,4
data/C50/C50train\acq\871.txt,4
data/C50/C50train\acq\872.txt,4
data/C50/C50train\acq\873.txt,4
data/C50/C50train\acq\874.txt,4
data/C50/C50train\acq\875.txt,4
data/C50/C50train\acq\876.txt,4
data/C50/C50train\acq\877.txt,6
data/C50/C50train\acq\878.txt,4
data/C50/C50train\acq\879.txt,4
data/C50/C50train\acq\88.txt,4
data/C50/C50train\acq\880.txt,4
data/C50/C50train\acq\881.txt,4
data/C50/C50train\acq\882.txt,6
data/C50/C50train\acq\883.txt,4
data/C50/C50train\acq\884.txt,4
data/C50/C50train\acq\885.txt,4
data/C50/C50train\acq\886.txt,4
data/C50/C50train\acq\887.txt,4
data/C50/C50train\acq\888.txt,4
data/C50/C50train\acq\889.txt,4
data/C50/C50train\acq\89.txt,4
data/C50/C50train\acq\890.txt,4
data/C50/C50train\acq\891.txt,4
data/C50/C50train\acq\892.txt,4
data/C50/C50train\acq\893.txt,4
data/C50/C50train\acq\894.txt,4
data/C50/C50train\acq\895.txt,6
data/C50/C50train\acq\896.txt,4
data/C50/C50train\acq\897.txt,4
data/C50/C50train\acq\898.txt,4
data/C50/C50train\acq\899.txt,4
data/C50/C50train\acq\9.txt,4
data/C50/C50train\acq\90.txt,4
data/C50/C50train\acq\900.txt,4
data/C50/C50train\acq\901.txt,4
data/C50/C50train\acq\902.txt,4
data/C50/C50train\acq\903.txt,4
data/C50/C50train\acq\904.txt,4
data/C50/C50train\acq\905.txt,4
data/C50/C50train\acq\906.txt,6
data/C50/C50train\acq\907.txt,4
data/C50/C50train\acq\908.txt,4
data/C50/C50train\acq\909.txt,4
data/C50/C50train\acq\91.txt,4
data/C50/C50train\acq\910.txt,2
data/C50/C50train\acq\911.txt,4
data/C50/C50train\acq\912.txt,4
data/C50/C50train\acq\913.txt,2
data/C50/C50train\acq\914.txt,4
data/C50/C50train\acq\915.txt,2
data/C50/C50train\acq\916.txt,4
data/C50/C50train\acq\917.txt,4
data/C50/C50train\acq\918.txt,4
data/C50/C50train\acq\919.txt,4
data/C50/C50train\acq\92.txt,1
data/C50/C50train\acq\920.txt,4
data/C50/C50train\acq\921.txt,4
data/C50/C50train\acq\922.txt,4
data/C50/C50train\acq\923.txt,4
data/C50/C50train\acq\924.txt,4
data/C50/C50train\acq\925.txt,4
data/C50/C50train\acq\926.txt,4
data/C50/C50train\acq\927.txt,2
data/C50/C50train\acq\928.txt,4
data/C50/C50train\acq\929.txt,4
data/C50/C50train\acq\93.txt,4
data/C50/C50train\acq\930.txt,4
data/C50/C50train\acq\931.txt,4
data/C50/C50train\acq\932.txt,4
data/C50/C50train\acq\933.txt,2
data/C50/C50train\acq\934.txt,4
data/C50/C50train\acq\935.txt,4
data/C50/C50train\acq\936.txt,4
data/C50/C50train\acq\937.txt,4
data/C50/C50train\acq\938.txt,4
data/C50/C50train\acq\939.txt,4
data/C50/C50train\acq\94.txt,4
data/C50/C50train\acq\940.txt,4
data/C50/C50train\acq\941.txt,4
data/C50/C50train\acq\942.txt,4
data/C50/C50train\acq\943.txt,4
data/C50/C50train\acq\944.txt,4
data/C50/C50train\acq\945.txt,4
data/C50/C50train\acq\946.txt,4
data/C50/C50train\acq\947.txt,4
data/C50/C50train\acq\948.txt,6
data/C50/C50train\acq\949.txt,4
data/C50/C50train\acq\95.txt,1
data/C50/C50train\acq\950.txt,4
data/C50/C50train\acq\951.txt,2
data/C50/C50train\acq\952.txt,4
data/C50/C50train\acq\953.txt,4
data/C50/C50train\acq\954.txt,4
data/C50/C50train\acq\955.txt,4
data/C50/C50train\acq\956.txt,4
data/C50/C50train\acq\957.txt,4
data/C50/C50train\acq\958.txt,4
data/C50/C50train\acq\959.txt,4
data/C50/C50train\acq\96.txt,4
data/C50/C50train\acq\960.txt,4
data/C50/C50train\acq\961.txt,4
data/C50/C50train\acq\962.txt,4
data/C50/C50train\acq\963.txt,4
data/C50/C50train\acq\964.txt,6
data/C50/C50train\acq\965.txt,4
data/C50/C50train\acq\966.txt,4
data/C50/C50train\acq\967.txt,4
data/C50/C50train\acq\968.txt,4
data/C50/C50train\acq\969.txt,4
data/C50/C50train\acq\97.txt,4
data/C50/C50train\acq\970.txt,2
data/C50/C50train\acq\971.txt,6
data/C50/C50train\acq\972.txt,4
data/C50/C50train\acq\973.txt,2
data/C50/C50train\acq\974.txt,6
data/C50/C50train\acq\975.txt,4
data/C50/C50train\acq\976.txt,4
data/C50/C50train\acq\977.txt,4
data/C50/C50train\acq\978.txt,4
data/C50/C50train\acq\979.txt,4
data/C50/C50train\acq\98.txt,4
data/C50/C50train\acq\980.txt,4
data/C50/C50train\acq\981.txt,2
data/C50/C50train\acq\982.txt,4
data/C50/C50train\acq\983.txt,4
data/C50/C50train\acq\984.txt,4
data/C50/C50train\acq\985.txt,4
data/C50/C50train\acq\986.txt,4
data/C50/C50train\acq\987.txt,4
data/C50/C50train\acq\988.txt,4
data/C50/C50train\acq\989.txt,4
data/C50/C50train\acq\99.txt,4
data/C50/C50train\acq\990.txt,4
data/C50/C50train\acq\991.txt,4
data/C50/C50train\acq\992.txt,4
data/C50/C50train\acq\993.txt,4
data/C50/C50train\acq\994.txt,4
data/C50/C50train\acq\995.txt,4
data/C50/C50train\acq\996.txt,4
data/C50/C50train\acq\997.txt,4
data/C50/C50train\acq\998.txt,4
data/C50/C50train\acq\999.txt,4
data/C50/C50train\alum\1.txt,4
data/C50/C50train\alum\10.txt,4
data/C50/C50train\alum\11.txt,4
data/C50/C50train\alum\12.txt,4
data/C50/C50train\alum\13.txt,8
data/C50/C50train\alum\14.txt,4
data/C50/C50train\alum\15.txt,3
data/C50/C50train\alum\16.txt,4
data/C50/C50train\alum\17.txt,4
data/C50/C50train\alum\18.txt,6
data/C50/C50train\alum\19.txt,4
data/C50/C50train\alum\2.txt,8
data/C50/C50train\alum\20.txt,3
data/C50/C50train\alum\21.txt,4
data/C50/C50train\alum\22.txt,4
data/C50/C50train\alum\23.txt,4
data/C50/C50train\alum\24.txt,4
data/C50/C50train\alum\25.txt,4
data/C50/C50train\alum\26.txt,1
data/C50/C50train\alum\27.txt,4
data/C50/C50train\alum\28.txt,1
data/C50/C50train\alum\29.txt,4
data/C50/C50train\alum\3.txt,4
data/C50/C50train\alum\30.txt,4
data/C50/C50train\alum\31.txt,4
data/C50/C50train\alum\32.txt,4
data/C50/C50train\alum\33.txt,2
data/C50/C50train\alum\34.txt,4
data/C50/C50train\alum\35.txt,2
data/C50/C50train\alum\36.txt,4
data/C50/C50train\alum\37.txt,4
data/C50/C50train\alum\38.txt,4
data/C50/C50train\alum\39.txt,1
data/C50/C50train\alum\4.txt,4
data/C50/C50train\alum\40.txt,6
data/C50/C50train\alum\41.txt,4
data/C50/C50train\alum\42.txt,4
data/C50/C50train\alum\43.txt,3
data/C50/C50train\alum\44.txt,2
data/C50/C50train\alum\45.txt,4
data/C50/C50train\alum\46.txt,4
data/C50/C50train\alum\47.txt,4
data/C50/C50train\alum\48.txt,3
data/C50/C50train\alum\49.txt,4
data/C50/C50train\alum\5.txt,1
data/C50/C50train\alum\50.txt,4
data/C50/C50train\alum\51.txt,1
data/C50/C50train\alum\52.txt,4
data/C50/C50train\alum\6.txt,3
data/C50/C50train\alum\7.txt,2
data/C50/C50train\alum\8.txt,6
data/C50/C50train\alum\9.txt,4
data/C50/C50train\austdlr\1.txt,4
data/C50/C50train\austdlr\2.txt,9
data/C50/C50train\austdlr\3.txt,9
data/C50/C50train\austdlr\4.txt,4
data/C50/C50train\barley\1.txt,2
data/C50/C50train\barley\10.txt,0
data/C50/C50train\barley\11.txt,8
data/C50/C50train\barley\12.txt,3
data/C50/C50train\barley\13.txt,3
data/C50/C50train\barley\14.txt,3
data/C50/C50train\barley\15.txt,2
data/C50/C50train\barley\16.txt,3
data/C50/C50train\barley\17.txt,3
data/C50/C50train\barley\18.txt,8
data/C50/C50train\barley\19.txt,8
data/C50/C50train\barley\2.txt,8
data/C50/C50train\barley\20.txt,3
data/C50/C50train\barley\21.txt,8
data/C50/C50train\barley\22.txt,8
data/C50/C50train\barley\23.txt,3
data/C50/C50train\barley\24.txt,3
data/C50/C50train\barley\25.txt,3
data/C50/C50train\barley\26.txt,4
data/C50/C50train\barley\27.txt,8
data/C50/C50train\barley\28.txt,3
data/C50/C50train\barley\29.txt,8
data/C50/C50train\barley\3.txt,8
data/C50/C50train\barley\30.txt,2
data/C50/C50train\barley\31.txt,3
data/C50/C50train\barley\32.txt,3
data/C50/C50train\barley\33.txt,3
data/C50/C50train\barley\34.txt,8
data/C50/C50train\barley\35.txt,3
data/C50/C50train\barley\36.txt,8
data/C50/C50train\barley\37.txt,8
data/C50/C50train\barley\38.txt,3
data/C50/C50train\barley\39.txt,3
data/C50/C50train\barley\4.txt,3
data/C50/C50train\barley\40.txt,8
data/C50/C50train\barley\41.txt,3
data/C50/C50train\barley\42.txt,8
data/C50/C50train\barley\43.txt,3
data/C50/C50train\barley\44.txt,2
data/C50/C50train\barley\45.txt,8
data/C50/C50train\barley\46.txt,8
data/C50/C50train\barley\5.txt,8
data/C50/C50train\barley\6.txt,3
data/C50/C50train\barley\7.txt,8
data/C50/C50train\barley\8.txt,3
data/C50/C50train\barley\9.txt,8
data/C50/C50train\bop\1.txt,9
data/C50/C50train\bop\10.txt,9
data/C50/C50train\bop\11.txt,9
data/C50/C50train\bop\12.txt,9
data/C50/C50train\bop\13.txt,9
data/C50/C50train\bop\14.txt,9
data/C50/C50train\bop\15.txt,9
data/C50/C50train\bop\16.txt,9
data/C50/C50train\bop\17.txt,9
data/C50/C50train\bop\18.txt,9
data/C50/C50train\bop\19.txt,9
data/C50/C50train\bop\2.txt,9
data/C50/C50train\bop\20.txt,9
data/C50/C50train\bop\21.txt,9
data/C50/C50train\bop\22.txt,9
data/C50/C50train\bop\23.txt,6
data/C50/C50train\bop\24.txt,2
data/C50/C50train\bop\25.txt,9
data/C50/C50train\bop\26.txt,9
data/C50/C50train\bop\27.txt,9
data/C50/C50train\bop\28.txt,9
data/C50/C50train\bop\29.txt,9
data/C50/C50train\bop\3.txt,9
data/C50/C50train\bop\30.txt,2
data/C50/C50train\bop\31.txt,1
data/C50/C50train\bop\32.txt,9
data/C50/C50train\bop\33.txt,9
data/C50/C50train\bop\34.txt,9
data/C50/C50train\bop\35.txt,9
data/C50/C50train\bop\36.txt,9
data/C50/C50train\bop\37.txt,9
data/C50/C50train\bop\38.txt,9
data/C50/C50train\bop\39.txt,6
data/C50/C50train\bop\4.txt,6
data/C50/C50train\bop\40.txt,9
data/C50/C50train\bop\41.txt,9
data/C50/C50train\bop\42.txt,2
data/C50/C50train\bop\43.txt,9
data/C50/C50train\bop\44.txt,9
data/C50/C50train\bop\45.txt,9
data/C50/C50train\bop\46.txt,4
data/C50/C50train\bop\47.txt,6
data/C50/C50train\bop\48.txt,9
data/C50/C50train\bop\49.txt,1
data/C50/C50train\bop\5.txt,9
data/C50/C50train\bop\50.txt,9
data/C50/C50train\bop\51.txt,9
data/C50/C50train\bop\52.txt,9
data/C50/C50train\bop\53.txt,9
data/C50/C50train\bop\54.txt,9
data/C50/C50train\bop\55.txt,6
data/C50/C50train\bop\56.txt,9
data/C50/C50train\bop\57.txt,9
data/C50/C50train\bop\58.txt,9
data/C50/C50train\bop\59.txt,9
data/C50/C50train\bop\6.txt,9
data/C50/C50train\bop\60.txt,6
data/C50/C50train\bop\61.txt,9
data/C50/C50train\bop\62.txt,9
data/C50/C50train\bop\63.txt,9
data/C50/C50train\bop\64.txt,9
data/C50/C50train\bop\65.txt,9
data/C50/C50train\bop\66.txt,1
data/C50/C50train\bop\67.txt,9
data/C50/C50train\bop\68.txt,1
data/C50/C50train\bop\69.txt,9
data/C50/C50train\bop\7.txt,9
data/C50/C50train\bop\70.txt,6
data/C50/C50train\bop\71.txt,9
data/C50/C50train\bop\72.txt,9
data/C50/C50train\bop\73.txt,9
data/C50/C50train\bop\74.txt,9
data/C50/C50train\bop\75.txt,9
data/C50/C50train\bop\76.txt,0
data/C50/C50train\bop\77.txt,9
data/C50/C50train\bop\78.txt,6
data/C50/C50train\bop\79.txt,9
data/C50/C50train\bop\8.txt,9
data/C50/C50train\bop\80.txt,9
data/C50/C50train\bop\81.txt,9
data/C50/C50train\bop\82.txt,9
data/C50/C50train\bop\83.txt,1
data/C50/C50train\bop\84.txt,2
data/C50/C50train\bop\85.txt,9
data/C50/C50train\bop\86.txt,2
data/C50/C50train\bop\87.txt,2
data/C50/C50train\bop\88.txt,2
data/C50/C50train\bop\89.txt,6
data/C50/C50train\bop\9.txt,9
data/C50/C50train\bop\90.txt,2
data/C50/C50train\bop\91.txt,9
data/C50/C50train\can\1.txt,1
data/C50/C50train\can\2.txt,1
data/C50/C50train\carcass\1.txt,4
data/C50/C50train\carcass\10.txt,4
data/C50/C50train\carcass\11.txt,1
data/C50/C50train\carcass\12.txt,4
data/C50/C50train\carcass\13.txt,1
data/C50/C50train\carcass\14.txt,4
data/C50/C50train\carcass\15.txt,1
data/C50/C50train\carcass\16.txt,8
data/C50/C50train\carcass\17.txt,4
data/C50/C50train\carcass\18.txt,4
data/C50/C50train\carcass\19.txt,4
data/C50/C50train\carcass\2.txt,3
data/C50/C50train\carcass\20.txt,4
data/C50/C50train\carcass\21.txt,4
data/C50/C50train\carcass\22.txt,4
data/C50/C50train\carcass\23.txt,1
data/C50/C50train\carcass\24.txt,1
data/C50/C50train\carcass\25.txt,3
data/C50/C50train\carcass\26.txt,1
data/C50/C50train\carcass\27.txt,1
data/C50/C50train\carcass\28.txt,4
data/C50/C50train\carcass\29.txt,4
data/C50/C50train\carcass\3.txt,4
data/C50/C50train\carcass\30.txt,4
data/C50/C50train\carcass\31.txt,3
data/C50/C50train\carcass\32.txt,4
data/C50/C50train\carcass\33.txt,4
data/C50/C50train\carcass\34.txt,4
data/C50/C50train\carcass\35.txt,4
data/C50/C50train\carcass\36.txt,1
data/C50/C50train\carcass\37.txt,4
data/C50/C50train\carcass\38.txt,3
data/C50/C50train\carcass\39.txt,4
data/C50/C50train\carcass\4.txt,4
data/C50/C50train\carcass\40.txt,4
data/C50/C50train\carcass\41.txt,8
data/C50/C50train\carcass\42.txt,4
data/C50/C50train\carcass\43.txt,4
data/C50/C50train\carcass\44.txt,4
data/C50/C50train\carcass\45.txt,1
data/C50/C50train\carcass\46.txt,8
data/C50/C50train\carcass\47.txt,3
data/C50/C50train\carcass\48.txt,3
data/C50/C50train\carcass\49.txt,1
data/C50/C50train\carcass\5.txt,4
data/C50/C50train\carcass\50.txt,4
data/C50/C50train\carcass\51.txt,3
data/C50/C50train\carcass\52.txt,8
data/C50/C50train\carcass\53.txt,4
data/C50/C50train\carcass\54.txt,4
data/C50/C50train\carcass\55.txt,1
data/C50/C50train\carcass\56.txt,4
data/C50/C50train\carcass\57.txt,4
data/C50/C50train\carcass\58.txt,4
data/C50/C50train\carcass\59.txt,4
data/C50/C50train\carcass\6.txt,4
data/C50/C50train\carcass\60.txt,0
data/C50/C50train\carcass\61.txt,4
data/C50/C50train\carcass\7.txt,8
data/C50/C50train\carcass\8.txt,4
data/C50/C50train\carcass\9.txt,8
data/C50/C50train\castor-oil\1.txt,4
data/C50/C50train\castorseed\1.txt,3
data/C50/C50train\citruspulp\1.txt,3
data/C50/C50train\cocoa\1.txt,4
data/C50/C50train\cocoa\10.txt,3
data/C50/C50train\cocoa\11.txt,4
data/C50/C50train\cocoa\12.txt,4
data/C50/C50train\cocoa\13.txt,8
data/C50/C50train\cocoa\14.txt,4
data/C50/C50train\cocoa\15.txt,4
data/C50/C50train\cocoa\16.txt,4
data/C50/C50train\cocoa\17.txt,4
data/C50/C50train\cocoa\18.txt,3
data/C50/C50train\cocoa\19.txt,8
data/C50/C50train\cocoa\2.txt,8
data/C50/C50train\cocoa\20.txt,4
data/C50/C50train\cocoa\21.txt,2
data/C50/C50train\cocoa\22.txt,4
data/C50/C50train\cocoa\23.txt,2
data/C50/C50train\cocoa\24.txt,4
data/C50/C50train\cocoa\25.txt,4
data/C50/C50train\cocoa\26.txt,4
data/C50/C50train\cocoa\27.txt,4
data/C50/C50train\cocoa\28.txt,4
data/C50/C50train\cocoa\29.txt,4
data/C50/C50train\cocoa\3.txt,4
data/C50/C50train\cocoa\30.txt,4
data/C50/C50train\cocoa\31.txt,4
data/C50/C50train\cocoa\32.txt,4
data/C50/C50train\cocoa\33.txt,4
data/C50/C50train\cocoa\34.txt,4
data/C50/C50train\cocoa\35.txt,3
data/C50/C50train\cocoa\36.txt,4
data/C50/C50train\cocoa\37.txt,4
data/C50/C50train\cocoa\38.txt,4
data/C50/C50train\cocoa\39.txt,4
data/C50/C50train\cocoa\4.txt,3
data/C50/C50train\cocoa\40.txt,3
data/C50/C50train\cocoa\41.txt,4
data/C50/C50train\cocoa\42.txt,4
data/C50/C50train\cocoa\43.txt,4
data/C50/C50train\cocoa\44.txt,4
data/C50/C50train\cocoa\45.txt,3
data/C50/C50train\cocoa\46.txt,8
data/C50/C50train\cocoa\47.txt,4
data/C50/C50train\cocoa\48.txt,4
data/C50/C50train\cocoa\49.txt,4
data/C50/C50train\cocoa\5.txt,6
data/C50/C50train\cocoa\50.txt,8
data/C50/C50train\cocoa\51.txt,4
data/C50/C50train\cocoa\52.txt,4
data/C50/C50train\cocoa\53.txt,3
data/C50/C50train\cocoa\54.txt,1
data/C50/C50train\cocoa\55.txt,4
data/C50/C50train\cocoa\56.txt,4
data/C50/C50train\cocoa\57.txt,4
data/C50/C50train\cocoa\58.txt,8
data/C50/C50train\cocoa\59.txt,3
data/C50/C50train\cocoa\6.txt,4
data/C50/C50train\cocoa\60.txt,4
data/C50/C50train\cocoa\61.txt,2
data/C50/C50train\cocoa\62.txt,4
data/C50/C50train\cocoa\63.txt,4
data/C50/C50train\cocoa\7.txt,3
data/C50/C50train\cocoa\8.txt,4
data/C50/C50train\cocoa\9.txt,4
data/C50/C50train\coconut\1.txt,4
data/C50/C50train\coconut\2.txt,4
data/C50/C50train\coconut\3.txt,4
data/C50/C50train\coconut\4.txt,4
data/C50/C50train\coconut\5.txt,4
data/C50/C50train\coconut\6.txt,8
data/C50/C50train\coconut-oil\1.txt,4
data/C50/C50train\coconut-oil\2.txt,1
data/C50/C50train\coconut-oil\3.txt,4
data/C50/C50train\coconut-oil\4.txt,4
data/C50/C50train\coconut-oil\5.txt,8
data/C50/C50train\coconut-oil\6.txt,4
data/C50/C50train\coffee\1.txt,4
data/C50/C50train\coffee\10.txt,4
data/C50/C50train\coffee\100.txt,4
data/C50/C50train\coffee\101.txt,9
data/C50/C50train\coffee\102.txt,4
data/C50/C50train\coffee\103.txt,4
data/C50/C50train\coffee\104.txt,4
data/C50/C50train\coffee\105.txt,4
data/C50/C50train\coffee\106.txt,1
data/C50/C50train\coffee\107.txt,4
data/C50/C50train\coffee\108.txt,4
data/C50/C50train\coffee\109.txt,4
data/C50/C50train\coffee\11.txt,6
data/C50/C50train\coffee\110.txt,4
data/C50/C50train\coffee\111.txt,4
data/C50/C50train\coffee\112.txt,4
data/C50/C50train\coffee\113.txt,4
data/C50/C50train\coffee\114.txt,4
data/C50/C50train\coffee\115.txt,4
data/C50/C50train\coffee\116.txt,4
data/C50/C50train\coffee\12.txt,4
data/C50/C50train\coffee\13.txt,4
data/C50/C50train\coffee\14.txt,4
data/C50/C50train\coffee\15.txt,8
data/C50/C50train\coffee\16.txt,4
data/C50/C50train\coffee\17.txt,4
data/C50/C50train\coffee\18.txt,4
data/C50/C50train\coffee\19.txt,4
data/C50/C50train\coffee\2.txt,4
data/C50/C50train\coffee\20.txt,4
data/C50/C50train\coffee\21.txt,6
data/C50/C50train\coffee\22.txt,4
data/C50/C50train\coffee\23.txt,4
data/C50/C50train\coffee\24.txt,9
data/C50/C50train\coffee\25.txt,4
data/C50/C50train\coffee\26.txt,4
data/C50/C50train\coffee\27.txt,8
data/C50/C50train\coffee\28.txt,4
data/C50/C50train\coffee\29.txt,4
data/C50/C50train\coffee\3.txt,4
data/C50/C50train\coffee\30.txt,4
data/C50/C50train\coffee\31.txt,4
data/C50/C50train\coffee\32.txt,4
data/C50/C50train\coffee\33.txt,4
data/C50/C50train\coffee\34.txt,4
data/C50/C50train\coffee\35.txt,4
data/C50/C50train\coffee\36.txt,4
data/C50/C50train\coffee\37.txt,4
data/C50/C50train\coffee\38.txt,4
data/C50/C50train\coffee\39.txt,4
data/C50/C50train\coffee\4.txt,4
data/C50/C50train\coffee\40.txt,4
data/C50/C50train\coffee\41.txt,4
data/C50/C50train\coffee\42.txt,4
data/C50/C50train\coffee\43.txt,4
data/C50/C50train\coffee\44.txt,8
data/C50/C50train\coffee\45.txt,4
data/C50/C50train\coffee\46.txt,4
data/C50/C50train\coffee\47.txt,4
data/C50/C50train\coffee\48.txt,4
data/C50/C50train\coffee\49.txt,4
data/C50/C50train\coffee\5.txt,4
data/C50/C50train\coffee\50.txt,4
data/C50/C50train\coffee\51.txt,4
data/C50/C50train\coffee\52.txt,4
data/C50/C50train\coffee\53.txt,3
data/C50/C50train\coffee\54.txt,4
data/C50/C50train\coffee\55.txt,4
data/C50/C50train\coffee\56.txt,4
data/C50/C50train\coffee\57.txt,4
data/C50/C50train\coffee\58.txt,8
data/C50/C50train\coffee\59.txt,4
data/C50/C50train\coffee\6.txt,4
data/C50/C50train\coffee\60.txt,4
data/C50/C50train\coffee\61.txt,9
data/C50/C50train\coffee\62.txt,4
data/C50/C50train\coffee\63.txt,4
data/C50/C50train\coffee\64.txt,9
data/C50/C50train\coffee\65.txt,4
data/C50/C50train\coffee\66.txt,4
data/C50/C50train\coffee\67.txt,4
data/C50/C50train\coffee\68.txt,1
data/C50/C50train\coffee\69.txt,4
data/C50/C50train\coffee\7.txt,4
data/C50/C50train\coffee\70.txt,4
data/C50/C50train\coffee\71.txt,4
data/C50/C50train\coffee\72.txt,4
data/C50/C50train\coffee\73.txt,4
data/C50/C50train\coffee\74.txt,3
data/C50/C50train\coffee\75.txt,4
data/C50/C50train\coffee\76.txt,3
data/C50/C50train\coffee\77.txt,4
data/C50/C50train\coffee\78.txt,4
data/C50/C50train\coffee\79.txt,8
data/C50/C50train\coffee\8.txt,4
data/C50/C50train\coffee\80.txt,4
data/C50/C50train\coffee\81.txt,4
data/C50/C50train\coffee\82.txt,4
data/C50/C50train\coffee\83.txt,4
data/C50/C50train\coffee\84.txt,4
data/C50/C50train\coffee\85.txt,4
data/C50/C50train\coffee\86.txt,9
data/C50/C50train\coffee\87.txt,4
data/C50/C50train\coffee\88.txt,4
data/C50/C50train\coffee\89.txt,3
data/C50/C50train\coffee\9.txt,4
data/C50/C50train\coffee\90.txt,4
data/C50/C50train\coffee\91.txt,8
data/C50/C50train\coffee\92.txt,4
data/C50/C50train\coffee\93.txt,3
data/C50/C50train\coffee\94.txt,4
data/C50/C50train\coffee\95.txt,8
data/C50/C50train\coffee\96.txt,8
data/C50/C50train\coffee\97.txt,4
data/C50/C50train\coffee\98.txt,4
data/C50/C50train\coffee\99.txt,4
data/C50/C50train\copper\1.txt,4
data/C50/C50train\copper\10.txt,4
data/C50/C50train\copper\11.txt,4
data/C50/C50train\copper\12.txt,4
data/C50/C50train\copper\13.txt,4
data/C50/C50train\copper\14.txt,6
data/C50/C50train\copper\15.txt,4
data/C50/C50train\copper\16.txt,4
data/C50/C50train\copper\17.txt,4
data/C50/C50train\copper\18.txt,4
data/C50/C50train\copper\19.txt,4
data/C50/C50train\copper\2.txt,2
data/C50/C50train\copper\20.txt,4
data/C50/C50train\copper\21.txt,4
data/C50/C50train\copper\22.txt,4
data/C50/C50train\copper\23.txt,4
data/C50/C50train\copper\24.txt,4
data/C50/C50train\copper\25.txt,4
data/C50/C50train\copper\26.txt,3
data/C50/C50train\copper\27.txt,6
data/C50/C50train\copper\28.txt,4
data/C50/C50train\copper\29.txt,4
data/C50/C50train\copper\3.txt,4
data/C50/C50train\copper\30.txt,4
data/C50/C50train\copper\31.txt,3
data/C50/C50train\copper\32.txt,4
data/C50/C50train\copper\33.txt,4
data/C50/C50train\copper\34.txt,4
data/C50/C50train\copper\35.txt,4
data/C50/C50train\copper\36.txt,4
data/C50/C50train\copper\37.txt,4
data/C50/C50train\copper\38.txt,4
data/C50/C50train\copper\39.txt,4
data/C50/C50train\copper\4.txt,4
data/C50/C50train\copper\40.txt,4
data/C50/C50train\copper\41.txt,4
data/C50/C50train\copper\42.txt,4
data/C50/C50train\copper\43.txt,4
data/C50/C50train\copper\44.txt,4
data/C50/C50train\copper\45.txt,4
data/C50/C50train\copper\46.txt,4
data/C50/C50train\copper\47.txt,4
data/C50/C50train\copper\48.txt,4
data/C50/C50train\copper\49.txt,4
data/C50/C50train\copper\5.txt,4
data/C50/C50train\copper\50.txt,4
data/C50/C50train\copper\51.txt,4
data/C50/C50train\copper\52.txt,6
data/C50/C50train\copper\53.txt,3
data/C50/C50train\copper\54.txt,4
data/C50/C50train\copper\55.txt,4
data/C50/C50train\copper\56.txt,4
data/C50/C50train\copper\57.txt,4
data/C50/C50train\copper\58.txt,4
data/C50/C50train\copper\59.txt,4
